node             bc        dc
Track          0.001894  0.060606
520            0.000000  0.030303
Swimming       0.005682  0.090909
29             0.000000  0.030303
Trail          0.092803  0.121212
3              0.000000  0.030303
Cycling        0.011364  0.121212
522            0.000000  0.030303
527            0.000000  0.030303
212            0.000000  0.030303
443            0.000000  0.030303
Snowboard      0.000000  0.030303
3203           0.000000  0.030303
Longboard      0.170455  0.303030
5              0.000000  0.030303
Alpine Skiing  0.000000  0.030303
672            0.000000  0.030303
1002           0.000000  0.030303
518            0.026515  0.060606
Mountainboard  0.000000  0.030303
524            0.094697  0.060606
448            0.000000  0.030303
430            0.000000  0.030303
422            0.000000  0.030303
458            0.000000  0.030303
243            0.000000  0.030303
1236           0.000000  0.030303
295            0.000000  0.030303
Windsurfing    0.000000  0.030303
214            0.000000  0.030303
65             0.000000  0.030303
9              0.000000  0.030303
408            0.000000  0.030303
18             0.000000  0.030303
