Track - Apr - Ascherbach -speed, 20.2
Swimming - Sep - Porec -speed, 4.2
Trail - Sep - Cevar-Porat -speed, 11.0
Cycling - Aug - Eichenau -speed, 34.0
Cycling - Jul - Puchheim -speed, 32.5
Swimming - Sep - Cannero -speed, 3.4
Swimming - Jun - Marzling -speed, 2.9
Snowboard - Mar - Kitzsteinhorn -speed, 18.9
Longboard - Jan - Port Vell -speed, 21.2
Alpine Skiing - May - Jachymov -speed, 14.8
Longboard - Apr - Bad Gastein -speed, 45.1
Trail - Jun - Buchelweg -speed, 12.3
Trail - Jul - Buchelweg -speed, 10.9
Mountainboard - May - Buchelweg -speed, 16.38
Mountainboard - Aug - Buchelweg -speed, 24.3
Trail - May - Buchelweg -speed, 11.3
Trail - May - Zweigstrasse -speed, 37.0
Longboard - Jul - Zweigstrasse -speed, 48.0
Trail - Nov - Lerchenfeld -speed, 37.0
Trail - Feb - Lerchenfeld -speed, 11.2
Track - Jan - Savoyer Au -speed, 20.1
Track - Feb - Savoyer Au -speed, 16.9
Track - Dec - Savoyer Au -speed, 24.4
Cycling - Oct - Riegerau -speed, 38.9
Cycling - Sep - Eittingermoos -speed, 39.4
Longboard - Feb - Zaragoza -speed, 27.0
Longboard - Mar - Montserrat -speed, 64.0
Longboard - Aug - Ljubljana -speed, 16.0
Windsurfing - Sep - Cannobio -speed, 19.1
Longboard - Feb - Monaco -speed, 32.0
Longboard - Mar - Antibes -speed, 17.3
Longboard - Feb - Zurich -speed, 18.3
Longboard - Sep - Novigrad -speed, 65.3
Track - Apr - Ascherbach -heartRate, 172
Swimming - Sep - Porec -heartRate, 113
Trail - Sep - Cevar-Porat -heartRate, 178
Cycling - Aug - Eichenau -heartRate, 162
Cycling - Jul - Puchheim -heartRate, 160
Swimming - Sep - Cannero -heartRate, 120
Swimming - Jun - Marzling -heartRate, 115
Snowboard - Mar - Kitzsteinhorn -heartRate, 127
Longboard - Jan - Port Vell -heartRate, 140
Alpine Skiing - May - Jachymov -heartRate, 100
Longboard - Apr - Bad Gastein -heartRate, 149
Trail - Jun - Buchelweg -heartRate, 158
Trail - Jul - Buchelweg -heartRate, 180
Mountainboard - May - Buchelweg -heartRate, 138
Mountainboard - Aug - Buchelweg -heartRate, 140
Trail - May - Buchelweg -heartRate, 168
Trail - May - Zweigstrasse -heartRate, 191
Longboard - Jul - Zweigstrasse -heartRate, 158
Trail - Nov - Lerchenfeld -heartRate, 192
Trail - Feb - Lerchenfeld -heartRate, 173
Track - Jan - Savoyer Au -heartRate, 170
Track - Feb - Savoyer Au -heartRate, 166
Track - Dec - Savoyer Au -heartRate, 174
Cycling - Oct - Riegerau -heartRate, 172
Cycling - Sep - Eittingermoos -heartRate, 155
Longboard - Feb - Zaragoza -heartRate, 140
Longboard - Mar - Montserrat -heartRate, 162
Longboard - Aug - Ljubljana -heartRate, 135
Windsurfing - Sep - Cannobio -heartRate, 114
Longboard - Feb - Monaco -heartRate, 121
Longboard - Mar - Antibes -heartRate, 120
Longboard - Feb - Zurich -heartRate, 141
Longboard - Sep - Novigrad -heartRate, 164
Track - Apr - Ascherbach -sleep, 54
Swimming - Sep - Porec -sleep, 60
Trail - Sep - Cevar-Porat -sleep, 51
Cycling - Aug - Eichenau -sleep, 49
Cycling - Jul - Puchheim -sleep, 43
Swimming - Sep - Cannero -sleep, 48
Swimming - Jun - Marzling -sleep, 57
Snowboard - Mar - Kitzsteinhorn -sleep, 41
Longboard - Jan - Port Vell -sleep, 45
Alpine Skiing - May - Jachymov -sleep, 63
Longboard - Apr - Bad Gastein -sleep, 53
Trail - Jun - Buchelweg -sleep, 35
Trail - Jul - Buchelweg -sleep, 62
Mountainboard - May - Buchelweg -sleep, 68
Mountainboard - Aug - Buchelweg -sleep, 49
Trail - May - Buchelweg -sleep, 58
Trail - May - Zweigstrasse -sleep, 61
